metric,count,avg,std,min,median,t90,p95,p99,max
e2e_ms_phase_b,30,4403.8386,340.28855225859166,3890.136,4425.365,4733.0288,5024.555,5024.555,5024.555
ttft_ms_phase_b,30,26.411299999999994,1.9356499068966382,23.556,26.5275,28.404300000000003,29.856,29.856,29.856
tpot_ms_phase_b,30,14.443047799999999,1.6502796198885643,12.195682,14.150814,16.315111100000003,17.90138,17.90138,17.90138
prefill_time_ms_phase_b,30,20.798,1.7167389294019448,18.893,20.628500000000003,22.8671,23.714,23.714,23.714
ttft_compute_window_ms_phase_b,30,25.4231,2.275747642969835,21.883,25.6685,27.808500000000002,29.253,29.253,29.253
e2e_non_gpu_wall_ms,30,1118.8614,433.6451162900135,457.023,1246.24,1585.2347000000002,1696.202,1696.202,1696.202
ttft_non_gpu_wall_ms,30,6.553799999999999,1.7773948273846736,4.506,6.2155000000000005,9.1732,9.4,9.4,9.4
tpot_non_gpu_wall_ms,30,1.8436525999999995,1.1449869486179098,0.283722,1.5386730000000002,3.110957400000001,3.7722,3.7722,3.7722
prefill_non_gpu_wall_ms,30,1.064,1.5844102133405766,0.041,0.1785,2.6807000000000034,4.865,4.865,4.865
e2e_non_gpu_wall_ratio,30,0.25362390000000007,0.09309377136220194,0.095229,0.292192,0.34573400000000004,0.360845,0.360845,0.360845
ttft_non_gpu_wall_ratio,30,0.2457079,0.052077518847718565,0.165885,0.24269849999999998,0.31575980000000003,0.323903,0.323903,0.323903
tpot_non_gpu_wall_ratio,30,0.12657719999999997,0.07234125605689781,0.015849,0.115442,0.20785920000000005,0.24378,0.24378,0.24378
prefill_non_gpu_wall_ratio,30,0.04715029999999999,0.06792860361471319,0.001975,0.008354,0.12177070000000012,0.205153,0.205153,0.205153
queue_ms_phase_b,30,0.9880999999999998,0.4853150665218457,0.595,0.8414999999999999,1.3500000000000014,2.196,2.196,2.196
min_batch_barrier_observed_ms_phase_b,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_non_warmup_num_requests_max,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
first_non_warmup_min_batch_ok_all_ranks,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
raw_to_latency_submit_gap_ms_phase_b,30,0.48933333333333345,0.24123094290760452,0.208,0.46,0.7961,0.7981,0.80113,0.802
raw_e2e_ms_including_barrier_phase_b,30,4404.328,340.2869340374688,3890.353,4425.8675,4733.750000000001,5024.90085,5025.24914,5025.346
raw_e2ft_ms_including_barrier_phase_b,30,26.900466666666667,1.949549297752641,23.777,27.0265,29.1247,30.2045,30.556980000000003,30.655
prefill_active_thread_count,30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
prefill_active_thread_count_edge,30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
prefill_active_thread_count_sample_p90,30,3.5,0.5085476277156078,3.0,3.5,4.0,4.0,4.0,4.0
prefill_active_thread_count_union,30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
prefill_effective_cpu_cores,30,405.2007999999999,95.60090000059694,206.657,396.834,541.1531,543.467,543.467,543.467
decode_active_thread_count_avg,30,3.2082,0.028196845017936196,3.157,3.212,3.2365999999999997,3.251,3.251,3.251
decode_active_thread_count_edge_avg,30,3.2082,0.028196845017936196,3.157,3.212,3.2365999999999997,3.251,3.251,3.251
decode_active_thread_count_sample_p90_avg,30,2.5957,0.06379717321594142,2.502,2.5845000000000002,2.6816,2.714,2.714,2.714
decode_active_thread_count_sample_max_peak,30,4.5,0.5085476277156078,4.0,4.5,5.0,5.0,5.0,5.0
decode_active_thread_count_union_avg,30,3.2082,0.028196845017936196,3.157,3.212,3.2365999999999997,3.251,3.251,3.251
decode_effective_cpu_cores_avg,30,435.3234,15.673994738925431,410.178,434.858,447.7912,468.277,468.277,468.277
decode_effective_cpu_cores_p90,30,526.0436,18.275190974236846,501.383,523.6665,544.1235,568.932,568.932,568.932
decode_effective_cpu_cores_max,30,687.3906000000002,50.996629880942066,603.383,676.691,753.092,754.658,754.658,754.658
prefill_total_threads_mean,30,129.2,0.6102571532587294,129.0,129.0,129.2,131.0,131.0,131.0
decode_total_threads_mean_avg,30,129.2,0.6102571532587294,129.0,129.0,129.2,131.0,131.0,131.0
decode_total_threads_max_peak,30,129.2,0.6102571532587294,129.0,129.0,129.2,131.0,131.0,131.0
