metric,count,avg,std,min,median,t90,p95,p99,max
e2e_ms_phase_b,30,3276.383299999999,5.095652732375509,3267.996,3276.3985000000002,3283.282,3284.137,3284.137,3284.137
ttft_ms_phase_b,30,29.09090000000001,3.603862710749543,24.926,28.1515,33.01910000000001,36.548,36.548,36.548
tpot_ms_phase_b,30,11.5239186,0.005984947795122349,11.512541,11.523751,11.5326969,11.533812,11.533812,11.533812
prefill_time_ms_phase_b,30,18.843900000000005,0.048834237565674184,18.781,18.835,18.9223,18.925,18.925,18.925
ttft_compute_window_ms_phase_b,30,28.887800000000002,3.606758449126422,24.774,27.738999999999997,32.87010000000001,36.399,36.399,36.399
e2e_non_gpu_wall_ms,30,328.76129999999995,4.86848618509725,321.347,329.7315,333.46569999999997,335.875,335.875,335.875
ttft_non_gpu_wall_ms,30,10.2839,3.5904939853202222,6.171,9.376000000000001,14.224500000000006,17.721,17.721,17.721
tpot_non_gpu_wall_ms,30,0.03902780000000001,0.002007157217696642,0.037341,0.0384295,0.03987440000000001,0.044675,0.044675,0.044675
prefill_non_gpu_wall_ms,30,0.03749999999999999,0.0006822882392210137,0.036,0.038,0.038,0.038,0.038,0.038
e2e_non_gpu_wall_ratio,30,0.10034080000000002,0.0013399771073700716,0.098231,0.100638,0.1017077,0.102272,0.102272,0.102272
ttft_non_gpu_wall_ratio,30,0.34447570000000005,0.07590371532006622,0.247574,0.33219,0.4301485000000001,0.484873,0.484873,0.484873
tpot_non_gpu_wall_ratio,30,0.003386800000000001,0.00017426840178893293,0.003238,0.0033350000000000003,0.0034612000000000006,0.003877,0.003877,0.003877
prefill_non_gpu_wall_ratio,30,0.0019898,3.4122901602781416e-05,0.001912,0.002008,0.0020192,0.002021,0.002021,0.002021
queue_ms_phase_b,30,0.20320000000000002,0.1569268223924989,0.149,0.151,0.2088000000000007,0.666,0.666,0.666
min_batch_barrier_observed_ms_phase_b,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_non_warmup_num_requests_max,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
first_non_warmup_min_batch_ok_all_ranks,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
raw_to_latency_submit_gap_ms_phase_b,30,0.5051666666666667,0.2486795588473362,0.213,0.4745,0.8181999999999999,0.82955,0.84633,0.853
raw_e2e_ms_including_barrier_phase_b,30,3276.8883333333333,5.096963263134933,3268.219,3276.91,3284.0368,3284.4874999999997,3284.84424,3284.944
raw_e2ft_ms_including_barrier_phase_b,30,29.596033333333335,3.615865246605464,25.148,28.689,33.775600000000004,36.924299999999995,37.28114,37.378
prefill_active_thread_count,30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
prefill_active_thread_count_edge,30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
prefill_active_thread_count_sample_p90,30,3.2,0.40683810217248617,3.0,3.0,4.0,4.0,4.0,4.0
prefill_active_thread_count_union,30,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
prefill_effective_cpu_cores,30,447.19380000000007,66.26199248042472,325.575,456.40250000000003,522.989,546.515,546.515,546.515
decode_active_thread_count_avg,30,3.2602999999999995,0.02092869668248811,3.235,3.2569999999999997,3.2868,3.294,3.294,3.294
decode_active_thread_count_edge_avg,30,3.2602999999999995,0.02092869668248811,3.235,3.2569999999999997,3.2868,3.294,3.294,3.294
decode_active_thread_count_sample_p90_avg,30,2.6557,0.020754974476429572,2.631,2.649,2.6773,2.698,2.698,2.698
decode_active_thread_count_sample_max_peak,30,4.4,0.6746646676632054,4.0,4.0,5.100000000000001,6.0,6.0,6.0
decode_active_thread_count_union_avg,30,3.2602999999999995,0.02092869668248811,3.235,3.2569999999999997,3.2868,3.294,3.294,3.294
decode_effective_cpu_cores_avg,30,428.93980000000016,8.347286011137031,420.611,424.314,440.38009999999997,444.683,444.683,444.683
decode_effective_cpu_cores_p90,30,543.6570999999999,11.808376776386462,530.815,539.7465,559.5496,569.959,569.959,569.959
decode_effective_cpu_cores_max,30,673.2240000000003,33.91977120734486,616.258,687.4845,703.7801,718.181,718.181,718.181
prefill_total_threads_mean,30,129.4,1.2205143065174584,129.0,129.0,129.4,133.0,133.0,133.0
decode_total_threads_mean_avg,30,129.4,1.2205143065174584,129.0,129.0,129.4,133.0,133.0,133.0
decode_total_threads_max_peak,30,129.4,1.2205143065174584,129.0,129.0,129.4,133.0,133.0,133.0
