metric,count,avg,std,min,median,t90,p95,p99,max
e2e_ms_phase_b,30,3340.3890000000006,23.549180187795095,3304.409,3338.9575,3370.9233,3372.807,3372.807,3372.807
ttft_ms_phase_b,30,132.62029999999996,106.55018688219667,27.24,102.043,303.8518,328.69,328.69,328.69
tpot_ms_phase_b,30,11.617806099999997,0.06231562698091156,11.514616,11.652066999999999,11.664763899999999,11.674114,11.674114,11.674114
prefill_time_ms_phase_b,30,18.9459,0.14296137650573246,18.77,18.911,19.0681,19.276,19.276,19.276
ttft_compute_window_ms_phase_b,30,132.46309999999997,106.5519048915792,27.084,101.888,303.6967,328.534,328.534,328.534
e2e_non_gpu_wall_ms,30,369.4315,13.562566123150427,354.076,363.3915,389.3568,390.867,390.867,390.867
ttft_non_gpu_wall_ms,30,113.71319999999997,106.49832058199888,8.451,83.178,284.64680000000004,309.782,309.782,309.782
tpot_non_gpu_wall_ms,30,0.0431596,0.005439450647972104,0.037867,0.0411845,0.04863730000000001,0.056776,0.056776,0.056776
prefill_non_gpu_wall_ms,30,0.0406,0.0015887535778195691,0.038,0.0405,0.04220000000000001,0.044,0.044,0.044
e2e_non_gpu_wall_ratio,30,0.1105788,0.0034653081307986595,0.10616,0.10922950000000001,0.1155176,0.116018,0.116018,0.116018
ttft_non_gpu_wall_ratio,30,0.7124473000000002,0.22758159037511252,0.310237,0.8113015,0.9367429,0.942475,0.942475,0.942475
tpot_non_gpu_wall_ratio,30,0.003713599999999999,0.00045671704059780147,0.003289,0.003531,0.004169700000000001,0.004869,0.004869,0.004869
prefill_non_gpu_wall_ratio,30,0.0021430999999999998,8.416172854524876e-05,0.002025,0.002138,0.0022277000000000004,0.002333,0.002333,0.002333
queue_ms_phase_b,30,0.15699999999999997,0.003118355004010048,0.153,0.156,0.1611,0.162,0.162,0.162
min_batch_barrier_observed_ms_phase_b,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_non_warmup_num_requests_max,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
first_non_warmup_min_batch_ok_all_ranks,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
raw_to_latency_submit_gap_ms_phase_b,30,0.5021666666666667,0.24691309141607637,0.212,0.473,0.8116000000000001,0.8303999999999999,0.84039,0.843
raw_e2e_ms_including_barrier_phase_b,30,3340.8911,23.54729267892372,3304.635,3339.4725,3371.6704,3373.1659,3373.52056,3373.618
raw_e2ft_ms_including_barrier_phase_b,30,133.12223333333336,106.54567110793488,27.454,102.57300000000001,304.5837,329.04715,329.39175,329.486
prefill_active_thread_count,30,4.9,0.3051285766293646,4.0,5.0,5.0,5.0,5.0,5.0
prefill_active_thread_count_edge,30,4.9,0.3051285766293646,4.0,5.0,5.0,5.0,5.0,5.0
prefill_active_thread_count_sample_p90,30,4.0,0.454858826147342,3.0,4.0,4.100000000000001,5.0,5.0,5.0
prefill_active_thread_count_union,30,4.9,0.3051285766293646,4.0,5.0,5.0,5.0,5.0,5.0
prefill_effective_cpu_cores,30,230.88849999999994,233.00958135853412,4.523,190.51649999999998,481.33710000000013,570.06,570.06,570.06
decode_active_thread_count_avg,30,3.3656000000000006,0.09468517707973456,3.275,3.3335,3.4792,3.553,3.553,3.553
decode_active_thread_count_edge_avg,30,3.3656000000000006,0.09468517707973456,3.275,3.3335,3.4792,3.553,3.553,3.553
decode_active_thread_count_sample_p90_avg,30,2.6721999999999992,0.09842707785549872,2.527,2.669,2.8158,2.859,2.859,2.859
decode_active_thread_count_sample_max_peak,30,5.1,0.30512857662936466,5.0,5.0,5.100000000000001,6.0,6.0,6.0
decode_active_thread_count_union_avg,30,3.3656000000000006,0.09468517707973456,3.275,3.3335,3.4792,3.553,3.553,3.553
decode_effective_cpu_cores_avg,30,402.0981,22.66197559843665,372.436,397.9715,433.9755,445.05,445.05,445.05
decode_effective_cpu_cores_p90,30,549.6098999999998,36.24295140256881,491.716,549.117,592.5062,601.346,601.346,601.346
decode_effective_cpu_cores_max,30,687.0209000000001,25.3583355381523,626.14,694.175,707.4909,721.791,721.791,721.791
prefill_total_threads_mean,30,132.2,9.764114452139667,129.0,129.0,132.20000000000005,161.0,161.0,161.0
decode_total_threads_mean_avg,30,132.2,9.764114452139667,129.0,129.0,132.20000000000005,161.0,161.0,161.0
decode_total_threads_max_peak,30,132.2,9.764114452139667,129.0,129.0,132.20000000000005,161.0,161.0,161.0
