metric,count,avg,std,min,median,t90,p95,p99,max
e2e_ms_phase_b,30,3296.1275000000005,14.391976933407193,3271.253,3299.035,3311.9976,3317.592,3317.592,3317.592
ttft_ms_phase_b,30,77.4913,56.03277826363225,23.259,65.4345,167.2777,176.923,176.923,176.923
tpot_ms_phase_b,30,11.521702799999998,0.007392986622468385,11.513502,11.521149000000001,11.5295478,11.538753,11.538753,11.538753
prefill_time_ms_phase_b,30,18.7593,0.04890959288178612,18.668,18.779,18.8021,18.812,18.812,18.812
ttft_compute_window_ms_phase_b,30,77.3278,56.040121885343346,23.101,65.28150000000001,167.1192,176.769,176.769,176.769
e2e_non_gpu_wall_ms,30,349.2492000000001,15.213630266627854,323.609,352.4625,365.0416,372.643,372.643,372.643
ttft_non_gpu_wall_ms,30,58.76969999999999,56.016010578349764,4.508,46.68,148.52710000000002,158.176,158.176,158.176
tpot_non_gpu_wall_ms,30,0.0392736,0.0022292105390891654,0.03769,0.0384725,0.04142010000000001,0.045345,0.045345,0.045345
prefill_non_gpu_wall_ms,30,0.037799999999999986,0.0006102571532587298,0.037,0.038,0.0381,0.039,0.039,0.039
e2e_non_gpu_wall_ratio,30,0.1059401,0.004164249829780581,0.098809,0.106838,0.11021790000000001,0.112323,0.112323,0.112323
ttft_non_gpu_wall_ratio,30,0.5904931,0.2741055854412549,0.193806,0.7084245,0.8878677,0.894039,0.894039,0.894039
tpot_non_gpu_wall_ratio,30,0.0034086,0.00019336914848601606,0.003273,0.0033365,0.003594000000000001,0.003936,0.003936,0.003936
prefill_non_gpu_wall_ratio,30,0.0020150999999999997,3.400339739618323e-05,0.001968,0.002023,0.0020403,0.002079,0.002079,0.002079
queue_ms_phase_b,30,0.16329999999999995,0.020484056036931212,0.152,0.1555,0.1743000000000001,0.222,0.222,0.222
min_batch_barrier_observed_ms_phase_b,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_non_warmup_num_requests_max,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
first_non_warmup_min_batch_ok_all_ranks,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
raw_to_latency_submit_gap_ms_phase_b,30,0.5100666666666667,0.25391838674352984,0.215,0.48,0.8345,0.8422999999999999,0.86346,0.871
raw_e2e_ms_including_barrier_phase_b,30,3296.6378333333337,14.395349447994844,3271.472,3299.5675,3312.755,3317.95545,3318.31553,3318.415
raw_e2ft_ms_including_barrier_phase_b,30,78.00156666666665,56.034378179633265,23.477,65.955,168.06040000000002,177.28745,177.64682000000002,177.746
prefill_active_thread_count,30,4.7,0.46609159969939906,4.0,5.0,5.0,5.0,5.0,5.0
prefill_active_thread_count_edge,30,4.7,0.46609159969939906,4.0,5.0,5.0,5.0,5.0,5.0
prefill_active_thread_count_sample_p90,30,3.7600000000000002,0.5366563145999496,3.0,4.0,4.0600000000000005,4.6,4.6,4.6
prefill_active_thread_count_union,30,4.7,0.46609159969939906,4.0,5.0,5.0,5.0,5.0,5.0
prefill_effective_cpu_cores,30,427.3727,153.16023198286436,6.827,477.097,528.2864999999999,530.415,530.415,530.415
decode_active_thread_count_avg,30,3.5113000000000003,0.026963768794183836,3.451,3.5199999999999996,3.5338,3.541,3.541,3.541
decode_active_thread_count_edge_avg,30,3.5113000000000003,0.026963768794183836,3.451,3.5199999999999996,3.5338,3.541,3.541,3.541
decode_active_thread_count_sample_p90_avg,30,2.7777000000000003,0.03416910280073057,2.71,2.7725,2.827,2.827,2.827,2.827
decode_active_thread_count_sample_max_peak,30,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
decode_active_thread_count_union_avg,30,3.5113000000000003,0.026963768794183836,3.451,3.5199999999999996,3.5338,3.541,3.541,3.541
decode_effective_cpu_cores_avg,30,441.58,7.6418257883381715,428.915,439.58,452.696,452.966,452.966,452.966
decode_effective_cpu_cores_p90,30,584.9926999999999,9.940815904035802,569.443,584.2135000000001,593.1237000000001,606.153,606.153,606.153
decode_effective_cpu_cores_max,30,698.4172000000001,26.75519368774902,660.933,695.3595,736.514,751.454,751.454,751.454
prefill_total_threads_mean,30,129.8,2.441028613034917,129.0,129.0,129.8,137.0,137.0,137.0
decode_total_threads_mean_avg,30,129.8,2.441028613034917,129.0,129.0,129.8,137.0,137.0,137.0
decode_total_threads_max_peak,30,129.8,2.441028613034917,129.0,129.0,129.8,137.0,137.0,137.0
